id,description,description_en,category,SpriteReference,CubemapReference,Narrator,NarratorLength,NarratorTranslation,NarratorTranslationEs,phoneCategoryIt,phoneCategoryEn,phoneCategoryEs
1,Dall'interno della grotta si guarda verso l'uscita. L'azzurro dell'acqua si riflette sulla volta e sulle pareti dell'antro. Notte con luna.,A cave looking towards an exit. The water reflects on the walls of the cave. Full moon night.,Night,1_sprite,1_HDR,"É notte, c'é la luna.",7.3,"Ok so - it's night, the moon is out. At the center of the scene an object...",,in una grotta,in a cave,en una cueva
2,Portico con volte a crociera e scale. Dagli occhi di portico si intravede un cortile. Notte.,A portico with vaults and stairs. A courtyard is visible. It's night.,Night,2_sprite,2_HDR,"Ok! Si comincia. Studiamo la scena: portico, volte, cortile… e notte.",10.7,"Let's begin, let's study the scene: portico, vaults, courtyard, night.. at the center of the scene an object",,in un portico,under a portico,en un pórtico
3,"Notte, luna piena. Un vialetto di cimitero circondato da cipressi si snoda fra tombe di varie tipologie. In fondo si intravede l'uscita del cimitero.","Night, full moon. A cemetery path is surrounded by cypresses and graves of various kinds. The exit of the cemetery is visible.",Night,3_sprite,3_HDR,"É notte, c'é la luna.",7.3,"Ok so - it's night, the moon is out, in the middle of the scene is an object",,al cimitero,in a cemetery,en un cementerio
4,Un ampio androne con passaggi dai soffitti a volta è illuminato da una lama di luce che sembra venire dall'interno del castello. Da uno dei passaggi si vede un cortile interno. Notte.,A big entrance hall with high ceilings is lit by a strip of light that seems to come from inside the castle. An inner courtyard is visible from one of the passages. Night.,Night,4_sprite,4_HDR,"É notte, c'é la luna.",7.3,"Ok so - it's night, the moon is out, in the middle of the scene is an object...",,in un androne,in a hallway,en un pasillo
5,Veduta di piazza con chiesa e campanile nel fondo. A destra un palazzo con portico. Nella piazza sono presenti numerosi lampioni che gettano la loro lunga ombra nel chiaro di luna della notte.,"View of a square with a church and bell tower in the background. On the right, a building with a portico. In the square, there are many street lamps that cast long shadows in the moonlight of the night.",Night,5_sprite,5_HDR,"É notte, c'é la luna.",7.3,"Ok so - it's night, the moon is out, in the middle of the scene is an object...",,in piazza,in a square,en una plaza
6,"Visione notturna di un tranquillo chiostro, circondato da un portico.","Night view of a quiet chiostro, surrounded by a portico.",Night,6_sprite,6_HDR,"Allora, questa scena si svolge di notte. Siamo in un portico tranquillo.",7.3,"So, this scene takes place at night, we are in a quiet porch. In the middle of the scene is an object",,in un chiostro,in a cloister,en un claustro
7,"Venezia, con l'isola di San Giorgio e la laguna illuminate dalla luna di notte.","Venice, with the island of San Giorgio and the lagoon illuminated by the moon at night.",Night,7_sprite,7_HDR,Allora. Siamo a Venezia.,7.3,"So, we are in Venice. In the middle of the scene is an object",,a Venezia,in Venice,en Venecia
8,La luna raffigurata come un volto di profilo sorge su un globo azzurro.,The moon depicted as a face in profile rises on a blue globe.,Night,8_sprite,8_HDR,"Qua dobbiamo usare l'immaginazione maschere. Improvvisiamo una scena astratta, con la luna che guarda un globo.",9.1,Here we have to use imagination masks. We see the moon looking at a globe. In the middle of the scene is an object,,in cielo,in the sky,en el cielo
9,Paesaggio con mare agitato da onde spumose. Nelle parte destra lo specchio di mare è delimitato da alture. Il cielo ha qualche leggera nube.,Landscape with a sea agitated by waves. On the right side the sea are hills. The sky has some light clouds.,OutdoorNature,9_sprite,9_HDR,"Bene, siamo al mare, una bella scena.",6.3,"Well, we are at the seaside, a beautiful scene. Here on stage is an object...",,al mare,at sea,en el mar
10,"Alcuni alberi in un paesaggio brullo. Sulla destra si vede un muretto. Nello sfondo, in lontananza, si innalzano delle colline.","Some trees in a barren landscape. On the right, a low wall. In the background, in the distance, some hills rise.",OutdoorNature,10_sprite,10_HDR,Allora questa scena la facciamo all'aria aperta. Ok!?,10.7,"So, this scene is outdoors, ok? And in the middle of the scene, an object...",,in campagna,in the countryside,en el campo
11,"Una campagna innevata, con stradine. A destra un borgo con campanile. A sinistra una casa colonica. In lontananza si vede una chiesa sullo sfondo di monti innevati.","A snow-covered countryside with small streets. On the right a village with a bell tower. On the left a farmhouse. In the distance, a church against the backdrop of snowy mountains",OutdoorNature,11_sprite,11_HDR,Attenzione maschere. Siete in campagna apera ed é nevicato.,9.1,Attention masks. You are in the open countryside and it has snowed. And here in the middle is an object...,,in campagna,in the countryside,en el campo
12,Tronchi d'albero a perdita d'occhio occupano quasi tutta la scena. Nella parte alta si vede l'inizio delle chiome.,Tree trunks as far as the eye can see occupy almost the entire scene. In the upper part is the beginning of the foliage.,OutdoorNature,12_sprite,12_HDR,"Eccoci, in questa scena siamo in una foresta piuttosto fitta.",10.7,"Here we are, in this scene we are in a rather thick forest. Look in the middle, there's an object",,in un bosco,in a forest,en un bosque
14,"Ai piedi di alcuni alberi, fra le rocce si vede l'ingresso di una grotta.","At the foot of some trees, among the rocks, the entrance to a cave.",OutdoorNature,14_sprite,14_HDR,"Maschere - occhio alla scena. Siamo all'aperto, in mezzo alla natura.",10.7,"Ok let's study the scene, we are outdoors, in the middle of nature, and in the center is an object",,in campagna,in the countryside,en el campo
15,Nelle parte sinistra lo specchio di mare è delimitato da alture. Il cielo è sfumato di azzurro e verde chiaro.,On the left side the sea is bordered by hills. The sky is blue and light green.,OutdoorNature,15_sprite,15_HDR,"Bene, siamo al mare, una bella scena.",6.3,"Nice, we are on the seaside, a nice scene. Here on stage is an object...",,al mare,at sea,en el mar
16,Interno di prigione con colonne a sostegno delle volte. Da una finestra entra un raggio di luce che illumina parte del muro.,Interior of a prison with columns supporting the vaults. A ray of light enters from a window and illuminates part of the wall.,Sinister,16_sprite,16_HDR,"Allora, siamo in una prigione.",9.1,We are in a prison. Here in the middle of the scene you see an object. Ok.,,in una prigione,in a prison,en una prisión
